date,rate_change,pb,spread,houst,gdp
11/14/2000,0,1,-0.394,1.56,5.9
12/18/2000,0,1,-0.81,1.52,4.7
01/02/2001,-0.5,-1,-1.052,1.55,4.9
1/30/2001,-0.5,-1,-1.208,1.59,2.4
3/19/2001,-0.5,-1,-1.186,1.65,4.2
04/10/2001,0,-1,-1.014,1.64,2.7
4/17/2001,-0.5,-1,-0.852,1.64,2.7
5/14/2001,-0.5,-1,-0.68,1.62,3.8
6/26/2001,-0.25,-1,-0.472,1.62,3.5
8/20/2001,-0.25,-1,-0.29,1.64,2.5
9/14/2001,-0.5,-1,-0.306,1.64,2.5
10/01/2001,-0.5,-1,-0.508,1.56,-0.5
11/05/2001,-0.5,-1,-0.46,1.51,-2
12/10/2001,-0.25,-1,0.322,1.54,-1.8
1/29/2002,0,-1,0.434,1.57,3.3
3/18/2002,0,-1,0.846,1.65,5.4
05/06/2002,0,0,0.528,1.65,4.1
6/25/2002,0,0,0.378,1.65,3.2
08/12/2002,0,0,-0.032,1.65,3.5
9/23/2002,0,-1,0.006,1.67,4.3
11/05/2002,-0.5,-1,-0.252,1.68,2.9
12/09/2002,0,0,0.282,1.66,3.1
1/28/2003,0,0,0.066,1.77,3.8
3/17/2003,0,0,-0.08,1.82,4.3
05/05/2003,0,0,-0.028,1.76,3.1
6/24/2003,-0.25,-1,-0.28,1.7,2.4
08/11/2003,0,-1,0.342,1.74,4.6
9/15/2003,0,-1,0.204,1.8,5.9
10/27/2003,0,-1,0.288,1.84,5.2
12/08/2003,0,-1,0.374,1.93,5.5
1/27/2004,0,-1,0.182,1.92,6.6
3/15/2004,0,-1,0.158,1.9,6.6
05/03/2004,0,-1,0.536,1.89,6.2
6/29/2004,0.25,0,1.116,1.97,7.4
08/09/2004,0.25,0,0.752,1.93,4.9
9/20/2004,0.25,0,0.528,1.98,4.5
11/09/2004,0.25,0,0.636,1.98,5.2
12/13/2004,0.25,0,0.546,1.98,5.6
02/01/2005,0.25,0,0.502,1.97,5.1
3/21/2005,0.25,0,0.658,2.15,7.2
05/02/2005,0.25,0,0.48,2.02,6.3
6/29/2005,0.25,0,0.286,2,5.6
08/08/2005,0.25,0,0.462,2.01,5.9
9/19/2005,0.25,0,0.252,2,5.8
10/31/2005,0.25,0,0.424,2.1,6.6
12/12/2005,0.25,0,0.256,2,5.6
1/30/2006,0.25,1,0.142,2.1,6.3
3/27/2006,0.25,1,0.136,2.1,8.2
05/09/2006,0.25,1,0.17,2,7
6/28/2006,0.25,1,0.264,1.9,5.9
08/07/2006,0,1,-0.15,1.8,5.3
9/19/2006,0,1,-0.228,1.7,4
10/24/2006,0,1,-0.17,1.6,4
12/11/2006,0,1,-0.326,1.5,2.9
1/30/2007,0,1,-0.156,1.5,5.7
3/20/2007,0,1,-0.328,1.4,5.5
05/08/2007,0,1,-0.314,1.4,5.5
6/27/2007,0,1,-0.308,1.5,6
08/06/2007,0,1,-0.46,1.3,3.6
08/09/2007,0,1,-0.49,1.3,3.6
8/16/2007,0,1,-0.202,1.3,3.6
9/17/2007,-0.5,0,-1.008,1.3,3.5
10/30/2007,-0.25,0,-0.848,1.2,2.3
12/10/2007,-0.25,0,-1.246,1.2,1.9
1/21/2008,-0.5,0,-1.394,1.2,1.9
1/29/2008,-0.5,-1,-1.182,1,3.3
3/17/2008,-0.5,-1,-1.42,1,2.7
4/29/2008,-0.25,-1,-0.324,0.9,-0.6
6/24/2008,0,0,0.604,1,1.9
08/04/2008,0,0,0.26,0.9,4.3
9/15/2008,0,0,-0.202,0.9,5.5
